t,Pxerr_Boris,Pxerr_RK4,Pxerr_SPPINN
-7.200000000000003,0.002719565826482917,4.044999002417171e-09,2.8707123975291182e-05
-6.799999999999997,0.002112637454210642,3.837812290186093e-09,2.1459957071368052e-05
-6.3999999999999915,0.0015800839469974903,3.6069778275304998e-09,1.4107990888412303e-05
-6.0,0.0010947998989427887,3.351848132382429e-09,6.720006293647884e-06
-5.599999999999994,0.0006369809994262177,3.090490086066211e-09,6.585047089835427e-07
-5.200000000000003,0.00019062047090523393,2.8202533641774608e-09,7.993117109972303e-06
-4.799999999999997,0.00025879548229879035,2.5250663782117044e-09,1.5252660266362739e-05
-4.3999999999999915,0.0007261646896514762,2.2637496321920025e-09,2.240280215959345e-05
-4.0,0.0012287649736157924,2.0092638663982143e-09,2.9399274565466982e-05
-3.5999999999999943,0.001788982542418438,1.7399646168314575e-09,3.6177893057764976e-05
-3.200000000000003,0.002438802084229419,1.463497323328511e-09,4.263768079670882e-05
-2.799999999999997,0.0032282504669698397,1.1911911457218594e-09,4.860847096388454e-05
-2.3999999999999915,0.004243216885628787,9.790741550830262e-10,5.378155402979701e-05
-2.0,0.005648075574148592,7.931313383835459e-10,5.7543306859919596e-05
-1.5999999999999943,0.007804836115129499,7.317337846757255e-10,5.851177965232601e-05
-1.2000000000000028,0.011679486914035309,1.1026308754935599e-09,5.299001579261997e-05
-0.7999999999999972,0.020382361653288328,3.1615111639737847e-09,2.9525530406138145e-05
-0.3999999999999915,0.03047443048672513,2.022957440450668e-09,3.2601066873583218e-06
0.0,0.01805774986028963,7.506093524511925e-09,5.070489556535662e-05
0.4000000000000057,0.011371562670466462,8.058451239634223e-09,6.60560264078569e-05
0.7999999999999972,0.008150136789868867,8.11346190232598e-09,6.724374002242683e-05
1.2000000000000028,0.006259476773188055,7.907454246947054e-09,6.371868410326442e-05
1.6000000000000085,0.004994598165867892,7.444228788955343e-09,5.8270624676115546e-05
2.0,0.004070955407301735,7.071907059952309e-09,5.1928985721261256e-05
2.4000000000000057,0.003352788862010847,6.673997798856135e-09,4.5142588868340994e-05
2.799999999999997,0.002766969257446128,6.133949792541671e-09,3.813111031636396e-05
3.200000000000003,0.0022703286003138423,5.73493474931297e-09,3.10116520032544e-05
3.6000000000000085,0.0018354454101348061,5.286427740003319e-09,2.3850102591538302e-05
4.0,0.001443762253731773,4.790694063672163e-09,1.668588061676246e-05
4.400000000000006,0.0010819528286978297,4.1767256320213164e-09,9.543761850139276e-06
4.799999999999997,0.0007398508764882017,3.5806273501748365e-09,2.4407115364333265e-06
5.200000000000003,0.0004091753882460303,2.9839286597166392e-09,4.610598472787331e-06
5.6000000000000085,8.26696967011209e-05,2.3946333804758524e-09,1.1599079052349026e-05
