time,dH_RK4,dH_Boris,dH_SPPINN
11872.5,0.00023318086044897348,0.0021079979664926913,8.41560800174551e-05
11880.0,0.00023334156242445716,0.0020555929085351956,1.002022660357358e-05
11887.5,0.0002335023263062892,0.005296563134065563,6.588624198349849e-05
11895.0,0.00023362592844528452,0.017423022736487513,5.305855612611064e-05
11902.5,0.0002337892635719921,0.00682376847543124,2.6016235439789006e-05
11910.0,0.00023395732590854182,0.005318058928018278,0.00012634675537409818
11917.5,0.0002339255171762083,0.013676139638507213,9.065420550095332e-05
11925.0,0.00023423760399641637,0.010059201827220528,6.796143599118938e-05
11932.5,0.00023439825780396863,0.0016583481093763442,6.152469664207129e-05
11940.0,0.0002346041399139553,0.011674770896180018,3.4583584944467894e-05
11947.5,0.00023467134412261716,0.005999488983773664,4.4216734118162295e-05
11955.0,0.00023485359920709663,0.002505612046204518,5.8218796038930456e-05
11962.5,0.0002350135164141411,0.007998005567087066,0.00021838935505696973
11970.0,0.00023508205237505686,0.012115027434244327,2.3828696213363364e-05
11977.5,0.0002352697772971481,0.00609374067444222,2.522793662687722e-05
11985.0,0.00023546012195028445,0.0038362108793176366,0.00017784577146615698
11992.5,0.00023555036061901103,0.01552930494871237,1.501994155970644e-05
12000.0,0.0002356738500938112,0.008361112977812621,2.2436888659550918e-05
12007.5,0.00023586642194950246,0.00025817940475890406,6.278928669634182e-05
12015.0,0.00023566378387380384,0.012249394365301118,0.00014771287339413884
12022.5,0.00023611902170278987,0.011938760881842075,2.139372986051346e-05
12030.0,0.00023627478021283802,0.0002484304878241319,2.1921644656501015e-05
12037.5,0.00023648113068108369,0.0074236883422167865,8.674034462597804e-05
12045.0,0.00023656550398713295,0.004542149468818585,7.600158927211071e-05
12052.5,0.00023673323495684476,0.0027579630960104995,0.00012827071770565832
12060.0,0.00023689178133241942,0.005691746125133174,0.00014997815032556327
12067.5,0.00023702176967636222,0.01683482385738626,4.653222121244053e-05
12075.0,0.0002371736598421909,0.007260066304804813,4.7292227219596024e-05
12082.5,0.00023734473280427896,0.004986261151049848,0.00016944385717085532
12090.0,0.00023740539057207836,0.01317186617378817,0.00010919292314139573
12097.5,0.00023762959151834987,0.00985867853675981,9.56182233918603e-05
12105.0,0.00023778543285311876,0.00085193580930156,8.259276037130871e-05
12112.5,0.00023794049853759325,0.011177804559564223,0.00017404525521386407
12120.0,0.00023804338017943815,0.0028648779398586007,7.010550146439862e-05
12127.5,0.00023823456973799009,0.0032691949575768832,9.352787200171542e-05
12135.0,0.000238430539814283,0.007236242189562772,0.00022252304090937829
12142.5,0.00023845033111437845,0.014409330733545628,4.2363820746251975e-05
12150.0,0.00023864156225751926,0.0060620727575486375,2.7068242216467192e-05
12157.5,0.0002388354720940497,0.003005273187190016,0.00034540332121427457
12165.0,0.0002389064170346395,0.015472691822295798,5.226288862577092e-06
