t,dE_Boris,dE_RK4,dE_SPPINN
82.21000000000001,0.00073528425407755,4.04513356979955e-07,2.946608123684235e-05
82.41,0.000622880864059872,3.4534620260623455e-07,2.685336417000831e-05
82.61000000000001,0.0005363354982780105,2.9991197750172373e-07,2.470071731621887e-05
82.81,0.00046765523986458477,2.6398883078659965e-07,2.2901232920325296e-05
83.00999999999999,0.000411781800480035,2.3489916750973695e-07,2.137687559951411e-05
83.21000000000001,0.0003653737709751578,2.1087185833979558e-07,2.0069944844193103e-05
83.41,0.00032614233727762507,1.906901597350343e-07,1.8937567629804486e-05
83.61000000000001,0.0002924705392763469,1.7349490067151797e-07,1.7947182959058883e-05
83.81,0.00026318538515843773,1.586606467667029e-07,1.707381497757927e-05
84.00999999999999,0.0002374161903468416,1.4572466634496044e-07,1.6297986769831905e-05
84.21000000000001,0.00021450357026717412,1.3433507772626554e-07,1.5604274572307187e-05
84.41,0.0001939392465078799,1.2422156456230525e-07,1.4980403650261713e-05
84.61000000000001,0.00017532520888554015,1.15172068730712e-07,1.4416356506969879e-05
84.81,0.0001583453694559078,1.0701768102240601e-07,1.390404702129773e-05
85.00999999999999,0.00014274548308847198,9.962372681690124e-08,1.3436689342405642e-05
85.21000000000001,0.00012831866740552474,9.287954334623302e-08,1.300875379363291e-05
85.41,0.00011489477943636159,8.669624695121706e-08,1.261548159968289e-05
85.61000000000001,0.0001023325167067261,8.099682261422382e-08,1.2252965348725616e-05
85.81,9.051344582583346e-05,7.571998839893827e-08,1.1917771524213953e-05
86.00999999999999,7.933745008048483e-05,7.08134819084496e-08,1.16070620236541e-05
86.21000000000001,6.87192090337403e-05,6.623088674747264e-08,1.1318298913737636e-05
86.41,5.8585442616187885e-05,6.193527973518833e-08,1.1049367113977417e-05
86.61000000000001,4.8872746004132955e-05,5.789297798330338e-08,1.0798356790713889e-05
86.81,3.95258577472377e-05,5.407655057631734e-08,1.0563655467438099e-05
87.00999999999999,3.0496275235940905e-05,5.046051311545599e-08,1.0343801367682134e-05
87.21000000000001,2.1741127382939335e-05,4.702388998064575e-08,1.0137541787078134e-05
87.41,1.322225975878542e-05,4.374657032413044e-08,9.943739976941466e-06
87.61000000000001,4.905477054709966e-06,4.061132787080884e-08,9.76140730519233e-06
87.81,3.2400836402005885e-06,3.760412966335977e-08,9.589648446344754e-06
88.00999999999999,1.1242472728659803e-05,3.471087663653189e-08,9.42767437654004e-06
88.21000000000001,1.9127371232650806e-05,3.192030305543611e-08,9.27476822088616e-06
88.41,2.691846083996254e-05,2.9220787130025985e-08,9.130294461717946e-06
88.61000000000001,3.463774533148257e-05,2.6602731566891352e-08,8.99367141236e-06
88.81,4.230582464411613e-05,2.4057686530796047e-08,8.864383554739283e-06
89.00999999999999,4.9942131490299616e-05,2.157601193986075e-08,8.74195360560147e-06
89.21000000000001,5.7565144001802245e-05,1.91497641826961e-08,8.6259564334207e-06
89.41,6.51925722032908e-05,1.6773179458527553e-08,8.516003311660605e-06
89.61000000000001,7.284152080353864e-05,1.4438855146768846e-08,8.411737767479713e-06
89.81,8.052864407843562e-05,1.2141374285662473e-08,8.312842326355431e-06
