period,drL_Boris,drL_RK4,drL_SPPINN
514,2.5381812502863012e-15,1.4364516018082156e-05,0.009193551244732794
515,2.719479911021037e-15,1.439246352118759e-05,0.008803421956637164
516,2.1755839288168296e-15,1.4420411028644195e-05,0.00921021475728513
517,2.1755839288168296e-15,1.4448358539545473e-05,0.008987824447621766
518,2.5381812502863012e-15,1.4476306053891426e-05,0.008935028145498054
519,1.9942852680820937e-15,1.450425357204465e-05,0.009133523249702496
520,2.1755839288168296e-15,1.4532201094186446e-05,0.008643920950080866
521,3.263375893225244e-15,1.4560148620135514e-05,0.008968144403619784
522,3.625973214694716e-15,1.458809615025445e-05,0.00847078184720188
523,3.44467455395998e-15,1.4616043684361957e-05,0.008446724371663524
524,3.625973214694716e-15,1.4643991220463748e-05,0.008346795807768119
525,3.9885705361641875e-15,1.4671938761279306e-05,0.007830151981755948
526,4.169869196898923e-15,1.4699886306264733e-05,0.008022887968564223
527,4.351167857633659e-15,1.4727833855963924e-05,0.007329868016210985
528,4.713765179103131e-15,1.4755781408382595e-05,0.007339957731358805
529,4.532466518368395e-15,1.4783728965152436e-05,0.006955790252814956
530,4.169869196898923e-15,1.4811676525729547e-05,0.006487698068574231
531,3.625973214694716e-15,1.4839624088844839e-05,0.006517812148038525
532,3.9885705361641875e-15,1.4867571656673897e-05,0.005737024621454215
533,4.532466518368395e-15,1.4895519228854123e-05,0.0057825928113699274
534,4.169869196898923e-15,1.4923466804297723e-05,0.00517461510793614
535,4.713765179103131e-15,1.4951414382642105e-05,0.004824291442115643
536,4.351167857633659e-15,1.4979361965518951e-05,0.004684406495521043
537,4.169869196898923e-15,1.5007309551840472e-05,0.003934840979593029
538,4.713765179103131e-15,1.5035257142694459e-05,0.004011344037517044
539,4.169869196898923e-15,1.5063204737899616e-05,0.0032763187302681422
540,4.713765179103131e-15,1.5091152335280354e-05,0.003097460569506838
541,4.895063839837867e-15,1.5119099937012262e-05,0.002807021383923469
542,4.895063839837867e-15,1.5147047541644948e-05,0.002201021457889405
543,5.62025848277681e-15,1.5174995151353996e-05,0.002297424322142064
544,5.801557143511546e-15,1.520294276450772e-05,0.0015518066819863452
545,5.801557143511546e-15,1.5230890381287415e-05,0.0015743533594233575
546,5.438959822042074e-15,1.5258838002055682e-05,0.0011781527100280216
547,4.895063839837867e-15,1.528678562663122e-05,0.0008057967062549997
548,5.801557143511546e-15,1.5314733254832733e-05,0.0009059844480842499
549,6.526751786450488e-15,1.5342680886841517e-05,0.00026613999988359897
550,5.9828558042462816e-15,1.5370628522113675e-05,0.0004901768420047387
551,5.801557143511546e-15,1.5398576161193107e-05,5.165281287034073e-05
552,5.62025848277681e-15,1.5426523804623707e-05,3.132309192900696e-05
553,5.62025848277681e-15,1.545447145149898e-05,5.482484659583414e-05
554,5.9828558042462816e-15,1.5482419102725423e-05,0.00038175373578272904
555,6.1641544649810174e-15,1.551036675830303e-05,1.1846510623521166e-05
556,6.526751786450488e-15,1.5538314415874927e-05,0.0003979475867601657
557,6.526751786450488e-15,1.556626207779799e-05,0.00017787608587853718
558,6.708050447185224e-15,1.5594209745160012e-05,0.00012103959413538143
559,6.526751786450488e-15,1.562215741596671e-05,0.0002901041633293305
560,6.526751786450488e-15,1.5650105089855483e-05,0.00021248199312641115
561,6.1641544649810174e-15,1.5678052766826334e-05,0.00010283103521377805
562,5.9828558042462816e-15,1.570600044851095e-05,0.0003892026766000827
563,5.801557143511546e-15,1.5733948133096347e-05,0.000407590079227046
564,5.257661161307338e-15,1.5761895821670313e-05,0.0005289354844932412
565,4.895063839837867e-15,1.578984351405155e-05,0.0010605432448976546
566,4.895063839837867e-15,1.5817791209333566e-05,0.0008885241869693155
567,5.0763625005726024e-15,1.5845738909691946e-05,0.0015797955529129693
568,5.0763625005726024e-15,1.5873686614220194e-05,0.0015583376304865227
569,5.0763625005726024e-15,1.5901634322374414e-05,0.0019500080489208349
570,5.438959822042074e-15,1.5929582033610713e-05,0.002425043224962181
571,5.9828558042462816e-15,1.5957529747385193e-05,0.002420543792644167
572,6.526751786450488e-15,1.598547746696123e-05,0.00320609242190289
573,6.526751786450488e-15,1.601342518998194e-05,0.003150402294584147
574,6.1641544649810174e-15,1.6041372916991223e-05,0.0037533275074905724
575,6.526751786450488e-15,1.606932064708258e-05,0.004095824488917564
576,6.1641544649810174e-15,1.6097268380618617e-05,0.004256097605885138
577,6.345453125715753e-15,1.6125216117599323e-05,0.005014012806548988
578,6.1641544649810174e-15,1.6153163858387304e-05,0.0049343278059502905
579,6.708050447185224e-15,1.6181111604251648e-05,0.0056589280658397145
580,7.251946429389432e-15,1.6209059353379366e-05,0.00581572266117958
581,6.88934910791996e-15,1.6237007106314354e-05,0.006113517401164292
582,6.88934910791996e-15,1.6264954863600514e-05,0.0067242554695328615
583,6.88934910791996e-15,1.6292902624150047e-05,0.006632686384268358
584,7.251946429389432e-15,1.6320850388325556e-05,0.007370886508169219
585,7.977141072328375e-15,1.6348798155945738e-05,0.00731980828143588
586,7.795842411593639e-15,1.637674592773579e-05,0.0077091252481717824
587,7.795842411593639e-15,1.640469370333311e-05,0.008075556727965569
588,7.795842411593639e-15,1.6432641483100303e-05,0.007984111414515353
589,7.433245090124167e-15,1.646058926613087e-05,0.008624091377740398
590,7.433245090124167e-15,1.6488537053693907e-05,0.008375924804931382
591,7.070647768654696e-15,1.6516484844339016e-05,0.008799274555727632
592,6.345453125715753e-15,1.6544432639516595e-05,0.008863404389044342
593,5.438959822042074e-15,1.6572380437776252e-05,0.008783178336451113
594,5.62025848277681e-15,1.6600328240568373e-05,0.00922570318184145
595,5.62025848277681e-15,1.662827604680517e-05,0.008820489560263114
596,5.801557143511546e-15,1.665622385666794e-05,0.009216450122544288
597,6.1641544649810174e-15,1.668417166961279e-05,0.008969190646993917
598,6.526751786450488e-15,1.6712119486546205e-05,0.008910259831861852
599,6.526751786450488e-15,1.674006730783079e-05,0.009084590351943722
600,6.526751786450488e-15,1.6768015131834854e-05,0.00858405915954427
601,6.526751786450488e-15,1.6795962960552688e-05,0.008894734817479832
602,6.88934910791996e-15,1.6823910793440387e-05,0.008376724604685354
603,6.88934910791996e-15,1.6851858630679254e-05,0.008347837044462254
604,7.251946429389432e-15,1.68798064706376e-05,0.008224381871789904
605,7.795842411593639e-15,1.6907754314947116e-05,0.007702524308199214
606,7.433245090124167e-15,1.6935702162701307e-05,0.007880922926620225
