period,dK_RK4,dPx_RK4,dK_Boris,dPx_Boris,dK_SP-PINN (frozen),dPx_SP-PINN (frozen),dK_SP-PINN (time-coord),dPx_SP-PINN (time-coord)
463,3.41783608970303e-06,1.3837865335819544e-06,0.0003559970756681352,0.01347961149260879,0.021427005340352245,1.670905602324524e-06,1.1135697951303314e-05,1.2701948883808711e-06
466,3.4476580186293404e-06,1.3985740374700129e-06,0.0004968388359385401,0.0019274082938971482,0.00020470269115602235,1.676736217204322e-06,5.4862878942074644e-06,1.9024896871222552e-06
469,3.4775458992442054e-06,1.4133604566701763e-06,0.0004965738120672469,0.0032065200039521624,0.021446977971307568,1.6148053290088171e-06,1.1929152011092015e-05,9.493377128855229e-08
472,3.522859231663844e-06,1.7448045683821078e-06,0.00032625299948207953,0.016221527694796567,1.2548916417109979e-06,5.54354029347337e-09,4.4309404422238075e-06,6.272197552892322e-06
475,3.507399982893844e-06,1.4281467348720156e-06,0.00034774387954739083,0.013853360718493857,0.02142483764078662,1.6458299563204548e-06,1.2534490238635954e-05,4.3763053581002964e-07
478,3.53722191981376e-06,1.4429317005681952e-06,0.0004967671815467867,0.001997767602880174,0.00020306496545874353,1.6032808747290517e-06,5.973010873461249e-06,4.539239607748158e-06
481,3.5671098057576955e-06,1.4577110971636387e-06,0.0004966605544165503,0.0031347012110338746,0.021449107191149785,1.7192858901005081e-06,1.4653692568700194e-05,6.561185384335033e-06
484,3.61242309410148e-06,1.789147013431247e-06,0.00033577289030350954,0.01578821876189984,1.4765993754384255e-06,7.450933203756449e-10,5.040012006629624e-06,1.037434071848864e-05
487,3.5969638627619815e-06,1.47249217263834e-06,0.00033897601543886324,0.014244273863842416,0.021422843036955186,1.732981339985784e-06,1.0356542478717756e-05,3.2480956502212166e-06
490,3.6267857996818975e-06,1.487281201528745e-06,0.0004966893703377551,0.0020686798789064653,0.0002014690003102615,1.6037883758812654e-06,1.0096655005398247e-06,7.186004107762045e-06
493,3.6566736909549036e-06,1.5020671619847548e-06,0.0004967406150981901,0.003063480370448346,0.02145134199855203,1.6655169188251051e-06,8.534686232408717e-06,6.2106081415436165e-06
496,3.701986937332258e-06,1.8335055307350245e-06,0.0003447295368168568,0.01537443891834478,1.4272287651717619e-06,1.5387913165909595e-08,6.782810643146675e-06,6.061913023547305e-06
499,3.6865277248665507e-06,1.516850781868584e-06,0.00032965793289774226,0.014653607459198525,0.021420684379236832,1.6009963113017278e-06,1.2276104826902667e-05,2.9638387375463537e-06
502,3.716349667115537e-06,1.531633247342512e-06,0.0004966050167993785,0.002140164801399891,0.00019988614897847867,1.6686436627999512e-06,5.555925168820863e-06,2.730123128014128e-06
505,3.7462375592767216e-06,1.546415754560826e-06,0.0004968143857357887,0.0029928363677302894,0.021453482120054268,1.6662209243456516e-06,1.2298762880114111e-05,3.057203770140404e-07
508,3.7915507603569765e-06,1.8778549366604835e-06,0.0003531593150989387,0.014978883532890563,1.5998605045197678e-06,4.4605692917087936e-08,5.494761714630592e-06,7.24828898901464e-06
