config,gamma0,dt,omega,larmor_floor
g5_Tc200,5.0,0.15707963267948966,19.0,0.0006615083435362615
g5_Tc200,5.0,0.15707963267948966,20.0,0.9933232592212702
g5_Tc200,5.0,0.15707963267948966,21.0,0.00020572638867089065
g5_Tc200,5.0,0.15707963267948966,22.0,3.59791483937232e-05
g5_Tc200,5.0,0.15707963267948966,23.0,0.00011064653053018647
g5_Tc200,5.0,0.15707963267948966,24.0,0.00015461597728042202
g5_Tc200,5.0,0.15707963267948966,25.0,0.00018011125135159147
g5_Tc200,5.0,0.15707963267948966,26.0,0.00019671470205548201
g5_Tc200,5.0,0.15707963267948966,27.0,0.0002071135792883227
g5_Tc200,5.0,0.15707963267948966,28.0,0.0002167187465306456
g5_Tc200,5.0,0.15707963267948966,29.0,0.000220824369630199
g5_Tc200,5.0,0.15707963267948966,30.0,6.697816932781376e-06
g5_Tc200,5.0,0.15707963267948966,31.0,0.00020085848915186384
g5_Tc200,5.0,0.15707963267948966,32.0,0.0001952976913395131
g5_Tc200,5.0,0.15707963267948966,33.0,0.0001832252081240874
g5_Tc200,5.0,0.15707963267948966,34.0,0.00016156116508137585
g5_Tc200,5.0,0.15707963267948966,35.0,0.0001419591057731423
g5_Tc200,5.0,0.15707963267948966,36.0,0.00010683102814463645
g5_Tc200,5.0,0.15707963267948966,37.0,5.7448007674388004e-05
g5_Tc200,5.0,0.15707963267948966,38.0,4.283708812544892e-05
g5_Tc200,5.0,0.15707963267948966,39.0,0.0003203644052800508
g5_Tc200,5.0,0.15707963267948966,40.0,1.4441831364805615
g5_Tc200,5.0,0.15707963267948966,41.0,0.00073805003987527
g5_Tc200,5.0,0.15707963267948966,42.0,0.00039974412411464277
g5_Tc200,5.0,0.15707963267948966,43.0,0.000299111024837707
g5_Tc200,5.0,0.15707963267948966,44.0,0.00023823028019755665
g5_Tc200,5.0,0.15707963267948966,45.0,0.00019759773310097555
g5_Tc200,5.0,0.15707963267948966,46.0,0.00016527698569260437
g5_Tc200,5.0,0.15707963267948966,47.0,0.00013381726922240177
g5_Tc200,5.0,0.15707963267948966,48.0,0.00011331660711292548
g5_Tc200,5.0,0.15707963267948966,49.0,9.70084545568228e-05
g5_Tc200,5.0,0.15707963267948966,50.0,0.00011535352031889956
g5_Tc200,5.0,0.15707963267948966,51.0,6.209497541660115e-05
g5_Tc200,5.0,0.15707963267948966,52.0,5.2942452636449313e-05
g5_Tc200,5.0,0.15707963267948966,53.0,4.589566148120132e-05
g5_Tc200,5.0,0.15707963267948966,54.0,4.18816129603028e-05
g5_Tc200,5.0,0.15707963267948966,55.0,4.063464677076068e-05
g5_Tc200,5.0,0.15707963267948966,56.0,4.5010668273480306e-05
g5_Tc200,5.0,0.15707963267948966,57.0,5.84564901750664e-05
g5_Tc200,5.0,0.15707963267948966,58.0,8.997675058008801e-05
g5_Tc200,5.0,0.15707963267948966,59.0,0.00019124453018959739
g5_Tc200,5.0,0.15707963267948966,60.0,0.0046096174146851255
g8_dtEQ,8.0,0.3141592653589793,1.0,4.437262305303546e-06
g8_dtEQ,8.0,0.3141592653589793,2.0,2.3354353329331932e-05
g8_dtEQ,8.0,0.3141592653589793,3.0,5.5923965741153984e-05
g8_dtEQ,8.0,0.3141592653589793,4.0,0.00010149641693511994
g8_dtEQ,8.0,0.3141592653589793,5.0,1.250748603723299
g8_dtEQ,8.0,0.3141592653589793,6.0,0.0002142697972929194
g8_dtEQ,8.0,0.3141592653589793,7.0,0.0002894644420903046
g8_dtEQ,8.0,0.3141592653589793,8.0,0.0004012967949672183
g8_dtEQ,8.0,0.3141592653589793,9.0,0.0006302539157304439
g8_dtEQ,8.0,0.3141592653589793,10.0,0.912003536560922
g8_dtEQ,8.0,0.3141592653589793,11.0,5.786472871246361e-05
g8_dtEQ,8.0,0.3141592653589793,12.0,0.00023681724541443566
g8_dtEQ,8.0,0.3141592653589793,13.0,0.00030461442332735167
g8_dtEQ,8.0,0.3141592653589793,14.0,0.00033595957023218394
g8_dtEQ,8.0,0.3141592653589793,15.0,1.0976020526758519e-05
g8_dtEQ,8.0,0.3141592653589793,16.0,0.00029279981218618956
g8_dtEQ,8.0,0.3141592653589793,17.0,0.00025830924349259585
g8_dtEQ,8.0,0.3141592653589793,18.0,0.00015692882773076712
g8_dtEQ,8.0,0.3141592653589793,19.0,6.783111374905492e-05
g8_dtEQ,8.0,0.3141592653589793,20.0,1.5031997702143867
g8_dtEQ,8.0,0.3141592653589793,21.0,0.0006370877523529438
g8_dtEQ,8.0,0.3141592653589793,22.0,0.00036968339160807555
g8_dtEQ,8.0,0.3141592653589793,23.0,0.00025613258569835484
g8_dtEQ,8.0,0.3141592653589793,24.0,0.00017944735923481535
g8_dtEQ,8.0,0.3141592653589793,25.0,0.00022891046972614733
g8_dtEQ,8.0,0.3141592653589793,26.0,8.246207548907766e-05
g8_dtEQ,8.0,0.3141592653589793,27.0,6.514637555029255e-05
g8_dtEQ,8.0,0.3141592653589793,28.0,7.232173158397314e-05
g8_dtEQ,8.0,0.3141592653589793,29.0,0.00013944220873866257
g8_dtEQ,8.0,0.3141592653589793,30.0,0.005770653966188391
g8_dtEQ,8.0,0.3141592653589793,31.0,0.00011220330211336885
g8_dtEQ,8.0,0.3141592653589793,32.0,3.464110987845031e-06
g8_dtEQ,8.0,0.3141592653589793,33.0,6.674706696356214e-05
g8_dtEQ,8.0,0.3141592653589793,34.0,0.00013152413735518178
g8_dtEQ,8.0,0.3141592653589793,35.0,1.4387275805680597
g8_dtEQ,8.0,0.3141592653589793,36.0,0.000251820726553623
g8_dtEQ,8.0,0.3141592653589793,37.0,0.0003253813157366288
g8_dtEQ,8.0,0.3141592653589793,38.0,0.00041937993093116137
g8_dtEQ,8.0,0.3141592653589793,39.0,0.0005861557449837577
