period,drL_Boris,drL_RK4,drL_SPPINN,dgamma_Boris,dgamma_RK4,dgamma_SPPINN
1521,8.521037054532582e-15,4.2509568236796113e-05,1.6412071165544807e-06,8.171241461241152e-15,4.0809150810261484e-05,1.5755588835375534e-06
1531,1.033402366187994e-14,4.278908154144815e-05,2.3215523255091254e-05,9.947598300641402e-15,4.107748312502935e-05,2.2286891976719404e-05
1541,9.427530358206262e-15,4.3068595222294896e-05,1.1802730401742575e-06,9.059419880941277e-15,4.134581579791074e-05,1.1330620917959776e-06
1551,7.614543750858903e-15,4.3348109280968056e-05,3.489865306513886e-07,7.283063041541026e-15,4.161414883032677e-05,3.350270670665623e-07
1561,7.795842411593639e-15,4.362762372145619e-05,2.0107299486726646e-05,7.283063041541026e-15,4.188248222654067e-05,1.9302999744574834e-05
1571,6.345453125715753e-15,4.390713853505697e-05,6.815239086725315e-06,6.0396132539608514e-15,4.2150815977670673e-05,6.542630415040662e-06
1581,5.801557143511546e-15,4.418665372956624e-05,5.589285419576887e-08,5.5067062021407766e-15,4.241915009171038e-05,5.3657140064444775e-08
1591,6.88934910791996e-15,4.44661693044401e-05,1.3075209228175959e-05,6.572520305780927e-15,4.268748456759397e-05,1.2552197576631841e-05
1601,7.614543750858903e-15,4.474568525732167e-05,1.5837676721599165e-05,7.283063041541026e-15,4.295581940372273e-05,1.5204174468586017e-05
1611,7.433245090124167e-15,4.502520159074913e-05,1.8193001673191707e-06,7.105427357601002e-15,4.322415460205065e-05,1.746528224089161e-06
1621,7.433245090124167e-15,4.53047183010965e-05,3.9429779180866895e-06,7.105427357601002e-15,4.3492490159202644e-05,3.785258502908562e-06
1631,7.977141072328375e-15,4.5584235390720665e-05,2.3699768880788713e-05,7.460698725481052e-15,4.376082607731036e-05,2.2751788909403102e-05
1641,8.521037054532582e-15,4.586375285889644e-05,3.4402446127407504e-06,8.171241461241152e-15,4.40291623560185e-05,3.3026350553910787e-06
1651,7.795842411593639e-15,4.614327070362953e-05,5.099674108268006e-06,7.283063041541026e-15,4.4297498993195464e-05,4.895687643191593e-06
1661,6.345453125715753e-15,4.6422788930721496e-05,2.830179507488466e-05,6.0396132539608514e-15,4.456583599434794e-05,2.7169738650378862e-05
1671,6.708050447185224e-15,4.670230753418949e-05,3.5029016860656827e-06,6.394884621840902e-15,4.4834173353791586e-05,3.362785854044148e-06
1681,9.246231697471526e-15,4.698182651657167e-05,1.2102027945953511e-05,8.881784197001252e-15,4.5102511074190946e-05,1.1617949640019276e-05
1691,1.1784412947757827e-14,4.726134587750546e-05,2.8243003368778e-05,1.1191048088221578e-14,4.537084915483547e-05,2.711329854871991e-05
1701,1.1784412947757827e-14,4.7540865616265667e-05,1.1981623073332513e-06,1.1191048088221578e-14,4.563918759501462e-05,1.1502358425730108e-06
1711,1.3416100894370448e-14,4.782038573248968e-05,1.586420961833539e-05,1.2789769243681804e-14,4.590752639490603e-05,1.5229646065506585e-05
1721,1.250960759069677e-14,4.809990622907828e-05,2.3247161668965686e-05,1.1901590823981678e-14,4.6175865556818965e-05,2.231728557813284e-05
1731,1.377869821583992e-14,4.83794271022242e-05,3.350842460879792e-06,1.3145040611561854e-14,4.644420507720071e-05,3.216808546824268e-06
