period,dI1_Boris,dI1_RK4,dI1_SPPINN
332,0.01997293314272579,1.0078936124348896e-13,7.301478614293047e-06
333,0.020023214474030295,1.0078936124348896e-13,0.01232422976891566
334,0.020073409569272508,1.0078936124348896e-13,0.005405769206306837
335,0.020123518212448396,5.6607723438123935e-14,0.00478830368267528
336,0.02017354018750975,5.6607723438123935e-14,0.012657958148817863
337,0.020223475279247817,1.0078936124348896e-13,0.00024944084726949867
338,0.02027332327249802,1.0078936124348896e-13,0.01379037685266921
339,0.020323083952493416,1.4497099904885398e-13,0.002646975681742417
340,0.020372757105085605,1.0078936124348896e-13,0.007506272299100839
341,0.020422342516258737,1.4497099904885398e-13,0.010256821037690607
342,0.020471839972482954,1.0078936124348896e-13,0.0006035156599542745
343,0.020521249260626036,1.4497099904885398e-13,0.0142165550140598
344,0.020570570167865038,1.0078936124348896e-13,0.0005546534039762358
345,0.02061980248159791,1.4497099904885398e-13,0.010146698857907933
346,0.020668945990062068,1.0078936124348896e-13,0.007357147474966257
347,0.0207180004815391,5.6607723438123935e-14,0.0024357175701851677
348,0.02076696574457569,1.4497099904885398e-13,0.013537667400970578
349,0.020815841568557973,1.0078936124348896e-13,0.0005508374043539676
350,0.020864627742827897,5.6607723438123935e-14,0.012305414726238893
351,0.020913324057257595,1.0078936124348896e-13,0.004403061923642179
352,0.02096193030229355,5.6607723438123935e-14,0.0049668147681555435
353,0.02101044626842645,1.0078936124348896e-13,0.011857868620145495
354,0.021058871746677137,1.4497099904885398e-13,0.0005002249955165773
355,0.02110720652864083,1.0078936124348896e-13,0.013651936072570738
356,0.021155450406089467,1.0078936124348896e-13,0.001846869828396695
357,0.021203603171236807,1.0078936124348896e-13,0.0078094374895610295
358,0.021251664616738424,1.0078936124348896e-13,0.009434539348174568
359,0.0212996345354708,1.4497099904885398e-13,0.0006987820779796119
360,0.02134751272088478,5.6607723438123935e-14,0.013980088634305384
361,0.021395298966917206,1.0078936124348896e-13,7.985751770218897e-05
362,0.02144299306763746,1.4497099904885398e-13,0.01052843808999049
363,0.021490594817821833,1.4497099904885398e-13,0.006638795727063756
364,0.02153810401211408,1.4497099904885398e-13,0.002862675019453321
365,0.02158552044617412,1.0078936124348896e-13,0.013239612054398883
366,0.021632843915706062,5.6607723438123935e-14,0.0006275473730171656
367,0.02168007421690001,1.4497099904885398e-13,0.012707462891433607
368,0.021727211146343704,1.4497099904885398e-13,0.0038986341536414127
369,0.02177425450102252,1.0078936124348896e-13,0.005660211328500011
370,0.021821204078319462,1.4497099904885398e-13,0.011543867479370095
371,0.021868059676191907,1.8915263685421902e-13,0.00016713392637320834
372,0.02191482109255304,1.4497099904885398e-13,0.014012704214531376
